track_id,track_name,track_artist,track_popularity,track_album_release_date,playlist_name,playlist_id,danceability,energy,valence
2kNNaYRKZHmO9OYM5Rq7v0,Chanda O Chanda,Various Artists,0,2000-01-02,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.523,0.26,0.561
5vZYBUjVtsY6JyNUwscES1,Aao Huzoor Tumko,O. P. Nayyar,0,1968-12-31,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.492,0.213,0.515
1YFaJi0WfHADuRW9ICaKov,Raat Baaqi Baat Baaqi,Bappi Lahiri,0,1982-12-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.632,0.35,0.222
10N2Fe8eJ7D3rznvhyInRe,"Apni To Jaise Taise - From ""Laawaris""",Kishore Kumar,0,2017-04-25,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.52,0.819,0.775
6JQoFDcFGEIe7Fb8v8XkMq,Mere Angne Men - Version 1,Kalyanji-Anandji,0,1981-12-31,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.581,0.518,0.85
5MYyt4LoL7WKGZC6cVZGkI,"Tera Mujhse - From ""Aa Gale Lag Jaa""",Kishore Kumar,29,2012-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.336,0.697,0.501
23KrpKH5sw76ol6xi1aW3l,"Chand Si Mehbooba Ho Meri - From ""Himalay Ki God Mein""",Mukesh,0,2017-04-25,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.346,0.334,0.692
5YuuJ8cJx7QDiBCJnEuUuj,"Yeh Kahan Aa Gaye Hum, Pt. 1",Shiv Hari,0,1981-05-18,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.395,0.341,0.22
3tXmVOSSEIQpF9AHV7kOYC,Rula Ke Gaya,S. D. Burman,21,1967-12-30,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.476,0.255,0.308
2swSa0NQv8Miu2fXj8pLh0,In Ankhon Ki Masti,Khayyam,43,1981-12-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.516,0.46,0.5
5cXL2VUFoS6swssv1lpZZO,"Gulabi Ankhen - From ""The Train""",Various Artists,48,1970-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.573,0.741,0.672
